IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.26.158,4,4,0.00,0.28,17.93,SIN
162.159.26.63,4,4,0.00,0.32,5.08,SIN
104.16.40.214,4,4,0.00,0.28,3.23,SJC
162.159.95.160,4,4,0.00,0.30,2.82,FRA
104.17.252.71,4,4,0.00,0.33,2.80,SJC
198.41.214.83,4,4,0.00,0.32,2.74,SJC
104.19.55.169,4,4,0.00,0.33,2.09,SJC
162.159.26.46,4,4,0.00,0.28,2.03,SIN
104.17.173.132,4,4,0.00,0.33,1.45,SJC
104.17.173.137,4,4,0.00,0.33,1.35,SJC
